,Left_id,Right_id,Score
271,3687,54930,99.11
272,3688,79804,89.82
273,3713,15897,95.51
274,3725,56156,86.8
275,3725,61327,94.72
276,3727,20182,98.8
277,3760,16932,95.21
278,3764,19515,92.05
279,3765,1608,99.02
280,3804,31962,97.01
281,3806,18253,100.0
282,3809,15233,82.02
283,3856,38182,95.29
284,3856,39904,95.29
285,3876,76592,84.31
286,3885,1790,99.36
287,3932,15871,84.9
288,4037,78613,99.09
289,4038,19167,84.29
290,4040,2606,83.77
291,4062,27333,87.59
292,4064,73313,98.93
293,4082,71678,97.43
294,4097,60464,99.35
295,4097,61021,96.45
296,4116,26815,91.85
297,4166,89884,98.82
298,4166,89885,98.82
299,4168,42499,82.96
300,4183,7532,98.96
301,4201,75017,96.75
302,4205,5397,80.76
303,4225,40882,98.16
304,4241,20633,85.18
305,4270,478,90.24
306,4270,4572,89.59
307,4287,1904,99.08
308,4308,66501,83.31
309,4313,8988,89.89
310,4324,80315,93.57
311,4326,78126,94.67
312,4358,78483,82.39
313,4358,78484,82.39
314,4362,7167,90.8
315,4384,33230,100.0
316,4392,30723,99.09
317,4392,30957,99.09
318,4398,78726,85.52
319,4407,33472,98.91
320,4432,38683,83.28
321,4434,41905,80.34
322,4436,805,98.51
323,4436,806,98.51
324,4451,16876,92.35
325,4458,73371,85.5
326,4465,52706,90.73
327,4465,52729,100.0
328,4486,37629,98.89
329,4510,4348,94.18
330,4520,56550,99.09
331,4533,55826,84.75
332,4536,29907,94.81
333,4536,30177,90.97
334,4537,680,86.63
335,4551,24264,90.49
336,4558,24775,99.08
337,4594,16172,95.69
338,4608,55108,92.16
339,4611,57334,96.79
340,4616,868,91.7
341,4617,81373,93.98
342,4625,30590,97.38
343,4644,87290,87.85
344,4661,59400,84.91
345,4663,61072,99.11
346,4663,63976,100.0
347,4666,57322,87.91
348,4702,52341,96.47
349,4702,53915,96.47
350,4711,23673,91.91
351,4729,86849,84.35
352,4741,5950,98.86
353,4798,51851,83.51
354,4801,90752,98.92
355,4802,42432,93.54
356,4809,50423,95.36
357,4815,70801,93.22
358,4819,25773,99.46
359,4821,6953,89.26
360,4821,6954,89.26
361,4827,40219,100.0
362,4853,21903,95.45
363,4860,6730,99.07
364,4885,61603,100.0
365,4885,61604,100.0
366,4919,66521,81.65
367,4921,74906,85.35
368,4938,88816,98.06
369,4941,33229,89.58
370,4951,30708,86.28
371,4957,56242,98.59
372,4967,70851,88.88
373,4969,52495,88.68
374,4974,76864,88.13
375,4974,76876,88.13
376,4990,66718,87.46
377,4994,47584,100.0
378,4995,7565,99.27
379,4995,7566,99.27
380,5032,39021,83.26
381,5047,77363,99.3
382,5051,72588,92.77
383,5065,77918,99.12
384,5065,77919,99.12
385,5084,23196,87.23
386,5091,43380,81.8
387,5193,63417,84.5
388,5233,37194,98.85
389,5233,37625,98.85
390,5235,72222,94.74
391,5253,2485,99.31
392,5257,5628,98.95
393,5281,89285,90.45
394,5282,66379,84.87
395,5295,56172,96.25
396,5305,76362,96.15
397,5314,12147,86.91
398,5354,57386,95.53
399,5354,57781,100.0
400,5366,84354,86.24
401,5410,55502,95.14
402,5416,66163,92.39
403,5416,67400,99.04
404,5437,9415,98.78
405,5476,58909,98.89
406,5479,14127,82.08
407,5479,20837,82.08
408,5480,84627,87.01
409,5480,84628,87.01
410,5481,18733,89.65
411,5506,64716,92.29
412,5521,6661,95.58
413,5521,6794,86.83
414,5558,4948,99.07
415,5577,36971,95.03
416,5582,33976,97.63
417,5602,73872,96.91
418,5604,60143,91.59
419,5607,30882,89.7
420,5629,8853,90.9
421,5653,55019,99.19
422,5658,61424,84.77
423,5671,1925,98.84
424,5671,5482,98.84
425,5687,82861,95.1
426,5687,82957,95.99
427,5697,5916,88.52
428,5701,66671,99.25
429,5701,70432,94.3
430,5727,60203,95.02
431,5760,20961,94.02
432,5763,36258,95.07
433,5765,32547,99.25
434,5769,78329,100.0
435,5773,85931,86.76
436,5773,88401,87.5
437,5836,80479,93.35
438,5841,71376,96.61
439,5857,64924,99.04
440,5873,66527,90.96
441,5892,2062,92.71
442,5895,83263,95.09
443,5915,63276,97.64
444,5942,2677,99.03
445,5957,11080,92.32
446,5973,86615,93.08
447,6013,56745,85.96
448,6021,55792,100.0
449,6022,19529,86.32
450,6023,41311,98.83
451,6029,75038,81.52
452,6042,61418,94.83
453,6052,86999,96.66
454,6085,79469,97.34
455,6145,19659,98.23
456,6160,39771,87.7
457,6169,23611,90.6
458,6170,77551,91.15
459,6171,27104,92.02
460,6179,27999,86.63
461,6186,18537,80.85
462,6188,57585,90.84
463,6198,39156,90.92
464,6202,65448,87.25
465,6207,1391,95.87
466,6237,59397,81.57
467,6251,53288,95.61
468,6251,53289,95.61
469,6295,14710,99.44
470,6321,53753,94.05
471,6328,83277,90.1
472,6332,85662,98.92
473,6332,87312,98.92
474,6355,54035,94.36
475,6410,58315,100.0
476,6411,56970,86.78
477,6433,84984,99.38
478,6437,61529,83.94
479,6445,75045,98.32
480,6475,10490,99.24
481,6475,16666,99.24
482,6476,72377,87.95
483,6504,91175,97.9
484,6520,11277,97.09
485,6520,11993,88.39
486,6550,84227,99.11
487,6550,84228,99.11
488,6554,78647,100.0
489,6554,79706,99.12
490,6567,82009,95.41
491,6570,72814,95.56
492,6570,74757,96.51
493,6613,47781,85.56
494,6630,41486,93.22
495,6658,4536,98.94
496,6662,40153,92.8
497,6665,87687,80.0
498,6666,32338,97.6
499,6687,737,81.42
500,6690,68671,99.04
501,6717,61700,92.25
502,6719,29534,84.39
503,6719,29861,80.29
504,6734,30057,84.37
505,6744,80883,82.0
506,6757,78402,98.76
507,6794,67765,94.13
508,6806,12750,92.22
509,6806,12756,92.22
510,6807,64980,95.4
511,6808,24609,96.85
512,6814,29414,96.59
513,6816,1341,82.2
514,6819,20558,83.7
515,6828,78646,94.25
516,6837,48397,99.13
517,6850,65932,83.33
518,6887,18728,83.97
519,6896,90210,98.6
520,6906,73365,98.9
521,6906,73366,98.9
522,6907,80036,96.79
523,6952,54284,94.32
524,6954,50779,95.21
525,6997,56249,94.05
526,7015,3769,99.18
527,7015,3770,99.18
528,7039,18706,98.76
529,7039,18707,98.76
530,7043,80124,94.17
531,7060,88365,99.15
532,7060,88616,87.89
533,7082,16364,84.4
534,7095,52692,94.23
535,7095,52693,94.23
536,7099,27964,99.27
537,7121,71373,90.81
538,7125,5382,98.99
539,7125,8465,98.99
540,7169,58872,99.01
541,7190,54627,94.71
542,7192,9022,89.35
543,7214,37849,85.12
544,7237,76461,88.91
545,7237,76462,88.91
546,7248,72483,82.45
547,7265,4434,96.61
548,7282,52610,100.0
549,7282,52611,100.0
550,7290,57562,98.53
551,7310,82663,86.86
